Brand,Product Name,Model Number,PV Module Maximum Power [W],Number of Light Points,Main Unit Battery Chemistry
Shenzhen FengWo Technology Ltd,Portable Indoor Solar Lighting System,SL1210,10,4,Li-ion
Bboxx Ltd.,Flexx140-80W Kit 02,-,76,5,LiFePO4
Bboxx Ltd.,Flexx TV Family,Modular,N/A,N/A,Modular
Bluetti,Solar Home System,P260,69,4,LiFePO4
Bluetti,P2 Series Family,Modular,N/A,N/A,LiFePO4
Sun King,Sun King Boom Gen 2 with Easybuy,SK-324 / SK-323,5.2,1,LiFePO4
LEMI,Soalight Family,Modular,N/A,N/A,LiFePO4
LEMI,Solar 10 W Home System,LM-Soalight 3210,10,2,LiFePO4
Zimpertec,Power Brick Family,Modular,N/A,N/A,LiFePO4
Zimpertec,Solar Home System Kit PS-114-K003,PS114-K003,9.3,2,LiFePO4
Sinoware,Sun Ace II,N/A,3.3,2,LiFePO4
StarTimes,S50 Family,Modular,N/A,N/A,LiFePO4
Sinoware,Sinoware Sun Ace II Family,Modular,N/A,N/A,LiFePO4
Villageboom,Villageboom High Power +,VB-SHS-10W-1L,10,1,Li-Ion
Zimpertec,LSX 115-K001 Solar Home System Kit,LSX115-K001-JS0133P,51,2,LiFePO4
Zimpertec,LSX Family,Modular,N/A,N/A,LiFePO4
StarTimes,Solar Power System,S50C,14,3,LiFePO4
Sunlite,Multi-Functional Solar Lamp,UN-360 MOB,3.2,1,LiFePO4
Omnivoltaic,Solar Home System,HS2-144_LB124,49,4,LiFePO4
Venus,VEK Family,Modular,N/A,N/A,Lithium-ion
Venus,VEK12 V Family,Modular,N/A,N/A,LiFePO4
Venus,Solar Home System Family,Modular,N/A,N/A,LiFePO4
Sunlite,Multi-Functional Solar Lamp,CL-16 MOB (UPG-2),3.2,1,LiFePO4
Omnivoltaic,ovCamp Family,Modular,N/A,N/A,LiFePO4
Venus,Solar Home System,VEK1208,32,2,LiFePO4
Omnivoltaic,LUMNS Family,Modular,N/A,N/A,Li-ion
Omnivoltaic,LUMN M600 Series Solar Lights and Phone Charger,M600,11,4,Li-ion
Venus,Solar Home Light Kit,VEK-8L,11,2,Lithium-ion
SolarChange,80 W Solar Lighting System,SC80-8018RF,81,5,LiFePO4
Venus,Solar Home System,VE-SHS-1224-PAYG (100W),110,4,LiFePO4
SolarChange,SC-80 Family,Modular,N/A,N/A,LiFePO4
MOON,Moon Energy Family,SHS40_12W_L22_S2,N/A,N/A,LiFePO4
Niwa Next Energy Products Ltd.,Multi 300XL,0408,3.1,1,LiFePO4
Omnivoltaic,LUMN Home Series Solar Lighting Kit,SHS40_12W_T4_L2_S2,12,3,LiFePO4
Omnivoltaic,LUMN Home Family,Modular,N/A,N/A,LiFePO4
SolarChange,Solar Lantern,P7,5.1,4,LiFePO4
d.light,A2 Solar Lantern,A2,0.3,1,LiFePO4
Solar Run,SR16 Family,Modular,-1,N/A,LiFePO4
Solar Run,Solar Home System,SR16B32XY,12,4,LiFePO4
SolarChange,Solar Light,SC-5,0.38,1,LiFePO4
Sun King,Pro 200,SK-332,2.3,1,Li-ion
Sun King,Pro 300,SK-333,6,1,Li-ion
Sun King,Home 120 Plus with EasyBuy,SK-425,19,5,Li-ion
Sun King,Pro 400,SK-334,6,1,Li-ion
Sun King,Sun King Home 40 Plus / Home 40 Plus with EasyBuy,SK-417 / SK-419,5.4,2,LiFePO4
Sun King (Greenlight Planet),HomePlus Max Family,Modular,N/A,N/A,LiFePO4
Sun King (Greenlight Planet),HomePlus Max solar home system with EasyBuy,SK-526,76,5,LiFePO4
ALIOTHSYSTEM,tereBox,ALS-TB384,73,6,LiFePO4
Shenzhen JCN New Energy Technology Co. Ltd,Solar Music Light,FS043,10,4,LiFePO4
Shenzhen JCN New Energy Technology Co. Ltd,Solar Music Light Family,Modular,N/A,N/A,LiFePO4
